track_name,album_name,release_date,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,lyrics_text
Threads,Third,2008-01-01,347786,0.282,0.372,9,-7.658,1,0.0318,0.152,0.265,0.0823,0.0974,150.55,"Better if I could find the words to say
Whenever I take a choice, it turns away

I'm worn, tired of my mind
I'm worn out, thinking of why
I'm always so unsure

I battle my thoughts, I find I can't explain
I've travelled so far but somehow feel the same

I'm worn, tired of my mind
I'm worn out, thinking of why
I'm always so unsure
I'm always so unsure


I'm worn, tired of my mind
I'm worn out, thinking of why
I'm always so unsure
I'm always so unsure (I'm always so unsure)
I'm always so unsure (I'm always so unsure)
I'm always so unsure

With why, where will I sleep?
While I know in all that I go?
I can't find no one to blame
Stand there, tired and worn
Tired and worn, tired and worn
Tired and worn, tired and worn
Tired, worn, where do I go?"
Humming - Live,Roseland Nyc Live,1998-01-01,394800,0.374,0.607,4,-8.118,0,0.0498,0.56,0.0639,0.666,0.057,74.131,"Closer
No hesitation
Give me
All that you have

'Cause it's been so long, that I can't, I can't explain
And it's been so wrong
Right now, so wrong

Naked
My thoughts are creeping
Too late
The show has begun

And it's been so long, that I can't confess
And it's been so wrong
Right now, so wrong


Is it all as it seems?
So unresolved, so unredeemed
If I remain, how will I know?

'Cause it's been so long, that I can't be sure
And it's been so wrong
Right now, so wrong"
Cowboys - Live,Roseland Nyc Live,1998-01-01,301160,0.38,0.81,3,-5.113,0,0.0519,0.0126,0.000388,0.783,0.182,153.26,"Did you sweep us far from your feet?
Reset in stone this stark belief?
Salted eyes and a soiled dye
Too many years

But don't despair
This day will be their damnedest day
Oh, if you take these things from me

Did you feed us tales of deceit?
Conceal the tongues who need to speak?
Subtle lies and a soiled coin
The truth is sold, the deal is done

But don't despair
This day will be their damnedest day
Oh, if you take these things from me

Undefied, no signs of regret
Your swollen pride assumes respect
Talons fly as a last disguise
But no return, the time has come

So don't despair
This day will be their damnedest day
Oh, if you take these things from me

Oh, if you take these things from me"
All Mine - Live,Roseland Nyc Live,1998-01-01,242600,0.592,0.52,10,-4.862,1,0.0305,0.0899,3.96e-05,0.703,0.31,62.238,"All the stars may shine bright
All the clouds may be white
But when you smile
Oh, how I feel so good
That I can hardly wait
To hold you
Enfold you
Never enough
Render your heart to me

All mine
You have to be

From that cloud number nine
Danger starts the sharp incline
And such sad regrets
Oh, as those starry skies
As they swiftly fall
Make no mistake
You shan't escape
Tethered and tied
There's nowhere to hide from me

All mine
You have to be

So don't resist
We shall exist
Until the day
Until the day I die

All mine
You have to be"
Mysterons - Live,Roseland Nyc Live,1998-01-01,342333,0.413,0.66,6,-6.793,1,0.0788,0.413,1.43e-05,0.731,0.304,164.102,"Inside, you're pretending
Crimes have been swept aside
Somewhere
Where they can forget

Divine upper reaches
Still holding on
This ocean
Will not be grasped

All for nothing
Did you really want
Did you really want
Did you really want
Did you really want

Refuse to surrender
Strung out until ripped apart
Who dares
Who dares to condemn?

All for nothing
Did you really want
Did you really want
Did you really want
Did you really want"
Only You - Live,Roseland Nyc Live,1998-01-01,320506,0.637,0.384,7,-9.935,1,0.0551,0.0887,0.00133,0.748,0.124,120.286,"""It's like that""
""It's like that""
""It's like that""
""It's like that""

We suffer every day
What is it for?
These crimes of illusion are fooling us all
And now I am weary and I feel like I do

It's only you who can tear me apart
And it's only you who can turn my wooden heart

The size of our fight
It's just a dream
We've crushed everything I can see
In this morning selfishly
How we've failed and I feel like I do

It's only you who can tear me apart
And it's only you who can turn my wooden heart

""It's like that""
""It's like that""
""It's like that""
""It's like—, it's like—, it's like that""

Now that we've chosen to take all we can
This shade of autumn
A stale bitter end
Years of frustration lay down side by side

And it's only you who can tear me apart
And it's only you who can turn my wooden heart
It's only you who can tear me apart
And it's only you who can turn my wooden heart"
Half Day Closing - Live,Roseland Nyc Live,1998-01-01,252400,0.284,0.645,8,-7.67,1,0.0474,0.0281,0.0207,0.322,0.079,131.716,"In the days of golden days
When everybody knew what they wanted
It ain't here today
Through the times of lasting love
When parents talked of things tried and tested
It don't feel the same

Dreams and belief have gone
Time, life itself goes on

Far beyond the shrinking skies
Where money talks and leaves us hypnotized
It don't pave the way
Underneath the fading sun
The silent sum of a businessman
Has left us choking

Dreams and belief have gone
Time, life itself goes on

In the days, the golden days
When everybody knew what they wanted
It ain't here today

Dreams and belief have gone
Time, life itself goes on"
Over - Live,Roseland Nyc Live,1998-01-01,253533,0.283,0.509,1,-10.024,1,0.0315,0.21,5.21e-06,0.711,0.119,150.211,"I can't hold this day anymore
Understand me anymore

To tread this fantasy openly
What have I done?
Oh, this uncertainty
Is taking me over

I can't mold this stage anymore
Recognize me anymore

To tread this fantasy openly
What have I done?
Oh, this uncertainty
Is taking me over
Is taking me over


To tread this fantasy openly
What have I done?
Oh, this uncertainty
Is taking me over
Is taking me over
Is taking me over

Oh, it's all over, yeah
Oh, it's all over, yeah
Oh, oh oh"
Glory Box - Live,Roseland Nyc Live,1998-01-01,337200,0.43,0.705,3,-5.409,0,0.0339,0.149,5.08e-05,0.838,0.182,118.781,"I'm so tired of playing
Playing with this bow and arrow
I'm gonna give my heart away
Leave it to the other girls to play
For I've been a temptress too long
Just

Give me a reason to love you
Give me a reason to be a woman
I just wanna be a woman

From this time, unchained
We're all looking at a different picture
Through this new frame of mind
A thousand flowers could bloom
Move over and give us some room, yeah

Give me a reason to love you
Give me a reason to be a woman
I just wanna be a woman

So don't you stop being a man
Just take a little look
From outside when you can
Sow a little tenderness
No matter if you cry

Give me a reason to love you
Give me a reason to be a woman
I just wanna be a woman
'Cause it's all I wanna be, is all, a woman, yeah

For this is the beginning
Of forever and ever
It's time to move over
It's all I wanna be

I'm so tired of playing
Playing with this bow and arrow
I'm gonna give my heart away
Leave it to the other girls to play
For I've been a temptress too long
Just

Give me a reason to love you
Give me a reason to be"
Sour Times - Live,Roseland Nyc Live,1998-01-01,319160,0.292,0.677,1,-5.245,0,0.0307,0.00192,3.1e-05,0.701,0.202,80.632,"To pretend no one can find
The fallacies of morning rose
Forbidden fruit, hidden eyes
Courtesies that I despise in me
Take a ride, take a shot now

'Cause nobody loves me, it's true
'Cause nobody loves me, it's true
Not like you do

Covered by the blind belief
That fantasies of sinful screens
Bear the facts, assume the dye
End the vows, no need to lie, enjoy
Take a ride, take a shot now

'Cause nobody loves me, it's true
'Cause nobody loves me, it's true
Not like you do

Who am I, what and why?
'Cause all I have left
Is my memories of yesterday
Oh, these sour times

'Cause nobody loves me, it's true
'Cause nobody loves me, it's true
Not like you do

'Cause nobody loves me, it's true
'Cause nobody loves me, it's true
'Cause nobody loves me, it's true
'Cause nobody loves me, it's true
Nobody loves me, it's true, oh, no
Nobody loves me, not like you do, oh
It's just like it seems, only disturbed
Oh, nobody loves me, not like you do
Thank you all very much"
Roads - Live,Roseland Nyc Live,1998-01-01,350306,0.306,0.453,9,-9.394,0,0.0409,0.736,0.0,0.96,0.0875,140.818,"Oh, can't anybody see
We've got a war to fight
Never find our way
Regardless of what they say

How can it feel this wrong?
From this moment, how can it feel this wrong?

Storm in the morning light
I feel, no more can I say
Frozen to myself
I got nobody on my side
And surely that ain't right
Surely that ain't right

Oh, can't anybody see
We've got a war to fight
We never find our way
Regardless of what they say

How can it feel this wrong?
From this moment, how can it feel this wrong?


How can it feel this wrong?
From this moment, how can it feel this wrong?

Oh, can't anybody see
We've got a war to fight
Never find our way
Regardless of what they say

How can it feel this wrong?
From this moment, how can it feel this wrong?"
Strangers - Live,Roseland Nyc Live,1998-01-01,320666,0.221,0.768,1,-5.218,0,0.0529,0.008,6.32e-05,0.952,0.403,83.814,"Oh, can anybody see the light?
Where the morn' meets the dew and the tide rises
Did you realize no one can see inside your view?
Did you realize for why this sight belongs to you?

Oh, just set aside your fears of life
With the sole desire

Done it warning, done it now
It ain't real on this side
Done it warning, done it now
It ain't real on this side


Done it warning, done it now
And it ain't real
Done it warning, done it now
Well, it ain't real on this side

Oh, can anybody see the light?
Where the morn' meets the dew and the tide rises
Did you realize no one can see inside your view?
Did you realize for why this sight belongs to you?"
Cowboys,Portishead,1997-01-01,279266,0.461,0.847,10,-2.398,0,0.0508,0.138,3.04e-05,0.113,0.18,76.763,"Did you sweep us far from your feet?
Reset in stone this stark belief?
Salted eyes and a sordid dye
Too many years

But don't despair
This day will be their damnedest day
Oh, if you take these things from me

Did you feed us tales of deceit?
Conceal the tongues who need to speak?
Subtle lies and a soiled coin
The truth is sold, the deal is done

But don't despair
This day will be their damnedest day
Oh, if you take these things from me

Undefied, no signs of regret
Your swollen pride assumes respect
Talons fly as a last disguise
But no return, the time has come

So don't despair
This day will be their damnedest day
Oh, if you take these things from me

Oh, if you take these things from me"
All Mine,Portishead,1997-01-01,240640,0.601,0.656,8,-2.692,0,0.0403,0.11,0.0148,0.103,0.342,60.161,"All the stars may shine a-bright
All the clouds may be white
But when you smile
Oh, how I feel so good
That I can hardly wait
To hold you
Enfold you
Never enough
Render your heart to me

All mine
You have to be

From that cloud number nine
Danger starts the sharp incline
And such sad regrets
Oh, as those starry skies
As they swiftly fall
Make no mistake
You shan't escape
Tethered and tied
There's nowhere to hide from me

All mine
You have to be

So don't resist
We shall exist
Until the day
Until the day I die

All mine
You have to be"
Undenied,Portishead,1997-01-01,260026,0.241,0.281,0,-8.726,1,0.0416,0.45,6.82e-06,0.0937,0.0321,222.605,"Your softly spoken words
Release my whole desire
Undenied
Totally

And so bare is my heart
I can't hide
And so where does my heart
Belong?

Beneath your tender touch
My senses can't divide
Oh so strong
My desire

For so bare is my heart
I can't hide
And so where does my heart
Belong?

Now that I've found you
And seen behind those eyes
How can I
Carry on

For so bare is my heart
I can't hide
And so where does my heart
Belong?
Belong?
Belong?
Belong?"
Half Day Closing,Portishead,1997-01-01,227893,0.276,0.556,2,-9.448,1,0.043,0.121,0.0171,0.245,0.0546,130.754,"In the days of golden days
When everybody knew what they wanted
It ain't here today

Through the times of lasting love
When parents talked of things tried and tested
It don't feel the same

Dreams and belief have gone
Time, life itself goes on

Far beyond the shrinking skies
Where money talks and leaves us hypnotised
It don't pave the way

Underneath the fading sun
The silent sum of a businessman
Has left us choking

Dreams and belief have gone
Time, life itself goes on

In the days, the golden days
When everybody knew what they wanted
It ain't here today

Dreams and belief have gone
Time, life itself goes on"
Over,Portishead,1997-01-01,235533,0.632,0.712,1,-9.439,1,0.0434,0.453,0.000247,0.113,0.175,74.132,"I can't hold this day anymore
Understand me anymore
To tread this fantasy openly
What have I done?

Oh, this uncertainty
Is taking me over

I can't mould this stage anymore
Recognise me anymore
To tread this fantasy openly
What have I done?

Oh, this uncertainty
Is taking me over
Is taking me over
To tread this fantasy openly
What have I done?
Oh, this uncertainty
Is taking me over
Is taking me over
Is taking me over

Yes, it's all over, yeah
Oh, it's all over, yeah"
Humming,Portishead,1997-01-01,362333,0.592,0.488,4,-7.596,1,0.0332,0.238,0.0742,0.822,0.0591,74.007,"Closer
No hesitation
Give me
All that you have
And it's been so long, that I can't explain
And it's been so wrong
Right now, so wrong
Naked
My thoughts are creeping
Too late
The show has begun
And it's been so long, that I can't confess
And it's been so wrong
Right now, so wrong
Is it all as it seems
So unresolved, so unredeemed
If I remain, how will I know
Cause it's been so long, that I can't be sure
And it's been so wrong
Right now, so wrong"
Mourning Air,Portishead,1997-01-01,252226,0.439,0.508,0,-8.234,0,0.0313,0.25,0.18,0.123,0.0582,141.985,"Did I see a moment with you
In a half lit world
I'm frightened to believe
But I must try
If I stumble if I fall

I'm reaching out in this mourning air, ohh

Have I got the strength to ask
Beyond the window
I feel this fear alone
Until we have
Total honesty
If I tremble or fall

I'm reaching out in this mourning air, ohh

Should I feel a moment with you
To softly whisper
I crave nothing else so much
Longing to reveal
Total honesty
I can feel your touch

I'm reaching out in this mourning air, ohh

I'm reaching out in this mourning air, ohh"
Seven Months,Portishead,1997-01-01,256040,0.489,0.82,4,-5.449,1,0.12,0.459,2.32e-05,0.0868,0.298,76.181,"How can I forget you
Disregard how I feel
Silently listen
To the words I can't see

As long as I have tried
As low as I can be
I will never resign myself
From the trial I seek

Why should I forgive you
After all that I've seen
Quietly whisper
When my heart wants to scream

For as long as I have tried
And as low as I can be
I will never resign myself
From the trial I seek

There's no time to rest
Or to reconsider
For this cruel unsaid
Won't concede

For as long as I have tried
And as low as I can be
I will never resign myself
From the trial I seek"
Only You,Portishead,1997-01-01,299560,0.581,0.316,5,-12.212,1,0.19,0.334,0.0145,0.148,0.108,120.349,"{Scratches}
Flip it like that

We suffer every day
What is it for?
These crimes of illusion are fooling us all
And now I am weary and I feel like I do

It's only you who can tell me apart
And it's only you who can turn my wooden heart

The size of our fight
It's just a dream
We've crushed everything I can see
In this morning selfishly
How we've failed and I feel like I do

It's only you, who can tell me apart
And it's only you, who can turn my wooden heart
{Scratches}
Flip it like that

Now that we've chosen to take all we can
This shade of autumn
A stale bitter end
Years of frustration lay down side by side

And it's only you, who can tell me apart
And it's only you, who can turn my wooden heart
It's only you, who can tell me apart
And it's only you, who can turn my wooden heart"
Elysium,Portishead,1997-01-01,354640,0.264,0.491,1,-5.534,0,0.0577,0.00405,0.0485,0.234,0.0385,79.98,"No one has said
What the truth should be
And no one decided
That I'd feel this way
If you felt as I
Would you betray yourself?

But you can't deny how I feel
And you can't decide for me

No one should fear
What they cannot see
And no one's to blame
It's just hypocrisy
It's written in your eyes
And how I despise myself

But you can't deny how I feel
And you can't decide for me

And it's your heart
That's so wrong
Mistaken
You'll never know
Your feathered sacred self

But you can't deny how I feel
And you can't decide for me
And you can't deny how I feel
Oh, why should you decide for me?"
Western Eyes,Portishead,1997-01-01,239333,0.641,0.292,4,-12.674,0,0.0925,0.509,0.000198,0.329,0.216,138.289,"Forgotten throes of another's life
The heart of love is our only light
Faithless screeds, consolidating
Holding down sweet charity

With western eyes and serpents' breath
We lay our own conscience to rest

But I'm aching at the view
Yes, I'm breaking at the seams just like you

They have values of a certain taste
The innocent they can hardly wait
To crucify, invalidating
Turning to dishonesty

With western eyes and serpents' breath
They lay their own conscience to rest
But then they lie and then they dare to be
Hidden heroes candidly

So, I'm aching at the view
Yes, I'm breaking at the seams just like you

I feel so cold
All hookers and gin
This mess we're in"
Mysterons,Dummy,1994-01-01,305240,0.657,0.498,11,-11.529,1,0.262,0.405,0.000479,0.107,0.46,164.25,"Portishead
Portishead
Portishead

Inside, you're pretending
Crimes have been swept aside
Somewhere
Where they can forget

Divine upper reaches
Still holding on
This ocean
Will not be grasped

All for nothing
Did you really want
Did you really want
Did you really want
Did you really want

Refuse to surrender
Strung out until ripped apart
Who dares
Who dares to condemn?

All for nothing
Did you really want
Did you really want
Did you really want
Did you really want"
Sour Times,Dummy,1994-01-01,252266,0.698,0.633,8,-6.68,0,0.0406,0.0508,0.272,0.264,0.55,94.085,"To pretend no one can find
The fallacies of morning rose
Forbidden fruit, hidden eyes
Courtesies that I despise in me
Take a ride, take a shot now

'Cause nobody loves me, it's true
Not like you do

Covered by the blind belief
That fantasies of sinful screens
Bear the facts, assume the dye
End the vows, no need to lie, enjoy
Take a ride, take a shot now

'Cause nobody loves me, it's true
Not like you do

Who am I, what and why?
'Cause all I have left
Is my memories of yesterday
Oh, these sour times

'Cause nobody loves me, it's true
Not like you do

After time, the bitter taste
Of innocence, descent, or race
Scattered seeds, buried lives
Mysteries of our disguise revolve
Circumstance will decide

‘Cause nobody loves me, it’s true
Not like you do


'Cause nobody loves me, it's true
Not like you
Nobody loves me, it's true
Not like you do"
Strangers,Dummy,1994-01-01,237600,0.659,0.617,6,-6.157,1,0.038,0.0355,0.16,0.185,0.25,84.078,"Ooh
Can anybody see the light?
Where the morn' meets the dew and the tide rises
Did you realize no one can see inside your view?
Did you realize for why this sight belongs to you?

Ooh
Just set aside your fears of life
With the sole desire

Done it warning, done it now
It ain't real on this side
Done it warning, done it now
It ain't real on this side

Done it warning, done it now
And it ain't real
Done it warning, done it now
'Cause this ain't real on this side

Ooh
Can anybody see the light?
Where the morn' meets the dew and the tide rises
Did you realize no one can see inside your view?
Did you realize for why this sight belongs to you?"
It Could Be Sweet,Dummy,1994-01-01,257160,0.668,0.52,9,-11.098,1,0.0444,0.698,0.0165,0.13,0.556,153.963,"I don't want to hurt you
For no reason have I but fear
And I ain't guilty of the crimes you accuse me of
But I'm guilty of fear

I'm sorry to remind
But I'm scared of what we're creating
This life ain't fair

You don't get something for nothing, turn now
Gotta try a little harder
It could be sweet
Like a long forgotten dream

And we don't need them
To cast the fate we have
Love don't always shine through

'Cause I don't wanna lose
What we had last time, your leaving
This life ain't fair

You don't get something for nothing, turn now
Gotta try a little harder
It could be sweet

But the thoughts we try to deny
Take a toll upon our lives
We struggle on in depths of pride
Tangled up in single minds

'Cause I don't wanna lose
What we had last time, your leaving
This life ain't fair

You don't get something for nothing, turn back
Gotta try a little harder
'Cause I don't wanna lose
What we had last time, your leaving
This life ain't fair
You don't get something for nothing, turn back
Gotta try a little harder
It could be sweet"
Wandering Star,Dummy,1994-01-01,293200,0.639,0.37,6,-10.883,1,0.0723,0.504,0.587,0.117,0.707,80.152,"Please, could you stay awhile to share my grief
For it's such a lovely day
To have to always feel this way
And the time that I will suffer less
Is when I never have to wake

Wandering stars, for whom it is reserved
The blackness, the darkness, forever
Wandering stars, for whom it is reserved
The blackness, the darkness, forever

Those who have seen the needle's eye, now tread
Like a husk, from which all that was, now has fled
And the masks that the monsters wear
To feed, upon their prey

Wandering stars, for whom it is reserved
The blackness, the darkness, forever
Wandering stars, for whom it is reserved
The blackness, the darkness, forever

Doubled up inside
Take a while to share my grief
Always doubled up inside
Taunted, cruel

Wandering stars, for whom it is reserved
The blackness, the darkness, forever
Wandering stars, for whom it is reserved
The blackness, the darkness, forever"
It'S A Fire,Dummy,1994-01-01,226200,0.636,0.346,6,-11.188,1,0.0322,0.405,0.179,0.0932,0.27,89.098,"It's a fire
These dreams that pass me by
This salvation I desire
Keeps getting me down
'Cause we need to
Recognize mistakes
For time and again

So let it be known for what we believe in
I can see no reason for it to fail
'Cause this life is a farce
I can't breathe through this mask
Like a fool
So breathe on, sister, breathe on

From this oneself
Testify or tell
It's fooling us now

So let it be known for what we believe in
I can see no reason for it to fail
'Cause this life is a farce
I can't breathe through this mask
Like a fool
So breathe on, little sister, breathe on
Ah, so breathe on, little sister, like a fool"
Numb,Dummy,1994-01-01,235800,0.326,0.447,6,-6.11,1,0.0356,0.056,1.8e-05,0.0812,0.22,78.052,"I'm ever so lost
I can't find my way
Been searching, but I have never seen
A turning, a turning from deceit

'Cause the child rose as life
Tried to reveal what I could feel

I can't understand myself anymore
'Cause I'm still feeling lonely
Feeling so unholy

'Cause the child rose as light
Tried to reveal what I could feel
And this loneliness
It just won't leave me alone

I'm fooling somebody
A faithless path I roam
Deceiving to breathe this secretly
A silence, this silence I can't bear

'Cause the child rose as life
Tries to reveal what I could feel
And this loneliness
It just won't leave me alone, oh no
And this loneliness
It just won't leave me alone

A lady of woe
A lady of woe"
Roads,Dummy,1994-01-01,303973,0.607,0.294,5,-11.836,1,0.0764,0.778,0.162,0.106,0.192,76.083,"Oh
Can't anybody see
We've got a war to fight
Never find our way
Regardless of what they say

How can it feel this wrong?
From this moment
How can it feel this wrong?

Storm in the morning light
I feel, no more can I say
Frozen to myself
I got nobody on my side
And surely that ain't right
Surely that ain't right

Oh
Can't anybody see
We've got a war to fight
Never find our way
Regardless of what they say

How can it feel this wrong?
From this moment
How can it feel this wrong?


How can it feel this wrong?
From this moment
How can it feel this wrong?

Oh
Can't anybody see
We've got a war to fight
Never find our way
Regardless of what they say

How can it feel this wrong?
From this moment
How can it feel this wrong?"
Pedestal,Dummy,1994-01-01,220400,0.411,0.464,0,-10.568,0,0.076,0.154,0.721,0.117,0.377,84.125,"How can I believe this miracle
Where the wind blows dry?
Through the force of a man
Undenied by his eye?

Oh, you abandoned me, how I suffer
Ridicule breathes a sigh
You abandoned me, lost forever
Hush, can you hear?

Enter and rejoice this pedestal
Where the rainbows hide
Your destiny
Mystery of all time

Oh, no time, make, or reason
Ridicule breathes a sigh
No time, make, or reason
Hush, hear him cry


No time, make or reason
No time, make or reason
No time, make or reason"
Biscuit,Dummy,1994-01-01,302600,0.737,0.455,8,-7.997,0,0.0805,0.73,0.055,0.0717,0.339,136.03,"I'm lost, exposed
Stranger things will come your way
It's just I'm scared
Got hurt a long time ago
I can't make myself heard

No matter how hard I scream, oh, sensation
Sin, slave of sensation

Full fed, yet I still hunger
Torn inside
Haunted, I tell myself, yet I still wander
Down inside

It's tearing me apart, oh, sensation
Sin, slave of sensation

(I'll never fall in love again)
(It's all over now)

At last, relief
A mother's son has left me sheer
The shores I seek
Are crimson tastes divine
I can't make myself heard

No matter how hard I scream, oh, sensation
Sin, slave of sensation

(I'll never fall in love again)
(It's all over now)"
Glory Box,Dummy,1994-01-01,308626,0.51,0.434,1,-10.004,1,0.0361,0.177,0.516,0.0603,0.207,119.695,"I'm so tired of playing
Playing with this bow and arrow
Gonna give my heart away
Leave it to the other girls to play
For I've been a temptress too long
Just...

Give me a reason to love you
Give me a reason to be a woman
I just wanna be a woman

From this time, unchained
We're all looking at a different picture
Through this new frame of mind
A thousand flowers could bloom
Move over and give us some room, yeah

Give me a reason to love you
Give me a reason to be a woman
I just wanna be a woman


So don't you stop being a man
Just take a little look
From outside when you can
Sow a little tenderness
No matter if you cry

Give me a reason to love you
Give me a reason to be a woman
I just wanna be a woman

It's all I wanna be, is all, a woman
For this is the beginning
Of forever and ever
It's time to move over
It's all I wanna be

I'm so tired of playing
Playing with this bow and arrow
Gonna give my heart away
Leave it to the other girls to play
For I've been a temptress too long
Just
Give me a reason to love you"
